device_use,devicetype,latitude,longitude,location_parameters,device_status,network,Cost
Wifi Device Counter,nCounter,-38.147906,144.363372,unknown,unknown,LoraWAN (TTN),54234
Wifi Device Counter,nCounter,-38.1469395,144.3599357,unknown,unknown,LoraWAN (TTN),50511
Wifi Device Counter,nCounter,-38.1468119,144.3588074,unknown,unknown,LoraWAN (TTN),96548
Wifi Device Counter,Cisco Meraki,-38.147929,144.358854,unknown,unknown,Not LoraWAN,85710
Wifi Device Counter,Cisco Meraki,-38.14768,144.361951,unknown,unknown,Not LoraWAN,72206
Parking,Turbo,-38.1482576,144.3638867,2P Parrallel,Active,LoraWAN (TTN),81882
Parking,Turbo,-38.1526821,144.3634288,2P Median,Active,LoraWAN (TTN),79484
Parking,Turbo,-38.1485746,144.3602221,2P Parrallel,Active,LoraWAN (TTN),42301
Parking,Turbo,-38.1475031,144.3573301,2P Parrallel,Active,LoraWAN (TTN),62851
Wifi Device Counter,nCounter,-38.1424258,144.360149,unknown,Inactive,LoraWAN (TTN),90278
Wifi Device Counter,nCounter,-38.1439919,144.3637687,unknown,Inactive,LoraWAN (TTN),3536
Wifi Device Counter,nCounter,-38.1454818,144.3657981,unknown,Inactive,LoraWAN (TTN),2886
Wifi Device Counter,nCounter,-38.1469338,144.3711246,unknown,Active,LoraWAN (TTN),8542
Wifi Device Counter,nCounter,-38.1746141,144.3430678,unknown,Active,LoraWAN (TTN),66307
Wifi Device Counter,nCounter,-38.1274401,144.3549584,unknown,Active,LoraWAN (TTN),84655
Weather Station,Atmos,-38.1220226,144.3591414,unknown,Active,LoraWAN (TTN),50561
Weather Station,Atmos,-38.1456638,144.3587789,unknown,Active,LoraWAN (TTN),79232
Weather Station,Atmos,-38.1274401,144.3549584,unknown,Inactive,Not LoraWAN,77774
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,23029
Wifi Device Counter,nCounter,-38.1687756,144.3512498,unknown,Active,Not LoraWAN,29479
Wifi Device Counter,Cisco Meraki,-38.143849,144.362906,unknown,unknown,Not LoraWAN,44642
Wifi Device Counter,nCounter,-38.1458692,144.3581138,unknown,Active,Not LoraWAN,65177
Wifi Device Counter,nCounter,-38.1496014,144.3608612,unknown,unknown,Not LoraWAN,99746
Wifi Device Counter,nCounter,-38.1470072,144.3565397,unknown,unknown,Not LoraWAN,21106
Wifi Device Counter,nCounter,-38.14762,144.3622749,unknown,Active,Not LoraWAN,68068
Parking,Turbo,-38.148484,144.362902,2P Parrallel,Active,LoraWAN (TTN),34202
Parking,Turbo,-38.1484674,144.3631551,2P Parrallel,Active,LoraWAN (TTN),99552
Parking,Turbo,-38.1515048,144.3643487,2P Diagonal,Active,LoraWAN (TTN),42621
